country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k,84.8k
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M,1.74M
Armenia,,,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k,17k
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.23M,5.19M,5.16M,5.12M,5.08M,5.04M,5.04M,5.04M,5.04M,5.04M,5.04M
Austria,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k,114k
Azerbaijan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k,40k
Belgium,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
